Protein.Ids	-Log(P-value)	Difference
E9Q2U6	0.8794070345411605	-0.646896998087563
E9Q2Z1	0.9319371109654208	-0.124227523803711
E9Q309	0.8230786546708955	-1.00116984049479
E9Q368	0.7100248447842984	-1.15752283732096
E9Q394	0.8206767288147687	-0.383036931355793
E9Q3C1	0.693623967555375	-1.08634312947591
E9Q3G8	0.6777032870033556	-0.0762208302815779
E9Q3L2	0.6959798192545196	-0.310417175292969
E9Q3P4	0.723184248505028	-0.18490664164225
G3X9A3	0.5511001460471843	-0.422766367594402
E9Q411	0.797407958899733	-0.549837112426758
E9Q446	0.8838513720614005	-0.839401880900063
G5E8R0	0.6658088536758364	0.852230707804363
E9QAA1	0.9705337300935892	0.171698888142902
F6XJP7	0.8305011692168986	-0.314729690551758
E9Q4F7	0.6506759019940987	-0.392096201578777
E9Q4N7	0.977885002899944	0.0332514444986991
E9Q4P1	0.7538643681396056	-0.189584732055664
E9Q6U4	0.9595462273465112	-0.116650263468426
D3YV32	0.6247429580413054	-1.77630742390951
E9Q4T4	0.7180915024911927	-1.21067746480306
E9Q4Y4	0.7826266384078007	-0.799437840779621
E9Q4Y8	0.8126286283652799	-0.959335645039875
E9Q4Z2	0.4772396266282198	2.08559799194336
E9Q512	0.833572232843379	-0.293406168619793
E9Q555	0.7515152720009147	-0.484160105387367
E9Q557	0.9271123285925367	-0.455207188924156
E9PX68	0.7734075224129101	0.342044830322266
E9Q5C9	0.7450485319023847	-0.468416213989258
E9Q5F9	0.4865702709656678	-0.213719050089516
E9Q5G3	0.7959049695872548	-1.15000025431315
E9Q5J9	0.7675455001953345	1.73679606119792
E9Q5K9	0.8082242989943498	-0.637292226155601
E9Q616	0.927894077781766	-0.0306619008382185
E9Q634	0.7568059168791891	-0.94408861796061
A2A655	0.683586820148226	-0.965031941731773
E9Q6D6	0.8668545559588975	-0.423002243041992
E9Q6E9	0.6579401257335928	-1.48261260986328
E9Q6J5	0.6283438471422014	0.337757746378582
